Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Permutation,diff_RMSE,diff_MAE,cross_mean
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_B_Biofilm_Volume_P_Biofilm_Volume,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_B_Biofilm_Volume_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_B_Biofilm_Volume_I,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_B_Biofilm_Volume_II,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_B_Biofilm_Volume_III,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Height_P_Biofilm_Volume,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Height_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Height_I,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Height_II,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Height_III,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Volume_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Volume_I,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Volume_II,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_Volume_III,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_SubstratumCoverage_I,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_SubstratumCoverage_II,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_P_Biofilm_SubstratumCoverage_III,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_I_II,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_I_III,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,prod_II_III,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Height_B_Biofilm_Roughness,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Height_B_Biofilm_SubstratumCoverage,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Height_B_Biofilm_Volume,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Height_P_Biofilm_Height,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Height_P_Biofilm_Volume,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Height_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Roughness_B_Biofilm_SubstratumCoverage,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Roughness_B_Biofilm_Volume,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Roughness_P_Biofilm_Height,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.11266877808978151,0.09764560077568028,0.14811522680290118,0.3128479568227062,0.1415457870997142,0.5987221929431026,[0.69371105 0.68436435 0.68436435 ... 0.78478762 0.79579302 0.79579302],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,ratio_B_Biofilm_Roughness_P_Biofilm_Volume,0.0,0.0,0.0
